Nom,Model,n (test),Exactitud,Sensibilitat,Especificitat,AUC
CRC Full S,DecisionTreeClassifier(),45,0.6222222222222222,0.5217391304347826,0.7272727272727273,0.6126482213438735
CRC Full S1,RandomForestClassifier(n_estimators=10),45,0.6,0.5652173913043478,0.6363636363636364,0.5849802371541503
CRC Full + Regió S,DecisionTreeClassifier(),45,0.6222222222222222,0.5217391304347826,0.7272727272727273,0.6126482213438735
CRC Full + Regió S1,RandomForestClassifier(n_estimators=10),45,0.5555555555555556,0.34782608695652173,0.7727272727272727,0.6205533596837945
CRC Full + Seq_tool S,DecisionTreeClassifier(),33,0.5151515151515151,0.47368421052631576,0.5714285714285714,0.5657894736842105
CRC Full + Seq_tool S1,DecisionTreeClassifier(),33,0.5151515151515151,0.47368421052631576,0.5714285714285714,0.5357142857142857
CRC Full + Regió + Seq_tool S,DecisionTreeClassifier(),33,0.5757575757575758,0.5789473684210527,0.5714285714285714,0.543233082706767
CRC Full + Regió + Seq_tool S1,RandomForestClassifier(n_estimators=10),33,0.3939393939393939,0.47368421052631576,0.2857142857142857,0.4699248120300752
