0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,region
0.56380063,0.3629777,0.37481433,0.38096464,0.54925543,0.63942945,0.7544571,0.55570906,0.31895626,0.7274734,0.3347085,0.4317856,0.6155536,0.27381217,0.467136,0.6037713,0.30143443,0.6860646,0.81617725,0.64069426,0.3843898,0.7133366,0.3682001,0.3627297,0.44388494,0.52881104,0.8609819,0.49038586,0.5716324,0.6538837,0.27528116,0.7560191,0.69022125,0.47462648,0.34547526,0.109327555,0.46735597,0.54987895,0.77251196,0.513588,0.61190546,0.28779504,0.597739,0.81080896,0.47718924,0.73712575,0.64322746,0.92199814,0.66927224,0.8152382,0.15382811,0.8082833,0.497435,0.52208084,0.613315,0.89883834,0.56051135,0.82705206,0.7175814,0.6604528,0.667137,0.651459,0.51708084,0.825279,0.7081075,0.54549724,0.21996728,0.48148897,0.7144532,0.6285845,0.5617913,0.8353099,0.47812063,0.5781195,0.82814443,0.112198114,0.77192307,0.86147183,0.4528571,0.687289,0.844095,0.62304014,0.35399526,0.0,0.13718796,0.87017864,0.5234452,0.86256295,0.6101602,0.7797487,0.27621266,0.66529536,0.70806324,0.37653515,0.7065295,0.60073906,0.5852105,0.12021056,0.7154692,0.5651071,0
0.60939497,0.36144444,0.63870865,0.7355912,0.45392436,0.57533646,0.69443524,0.40392703,0.28004092,0.655515,0.5848968,0.34480262,0.8025595,0.27120966,0.5771253,0.48296797,0.56777704,0.52847105,0.47493756,0.57536167,0.49865127,0.6876519,0.7498339,0.45162493,0.35665908,0.49552563,0.7642891,0.51097625,0.27002752,0.096425354,0.3944494,0.49460638,0.5495987,0.45466048,0.31939092,0.17310587,0.7344978,0.5854776,0.64106226,0.58216673,0.65180516,0.6984891,0.85005736,0.45150876,0.48054582,0.6530102,0.500816,0.8846133,0.88052344,0.80860966,0.4620186,0.73649085,0.7400148,0.89757794,0.37570494,0.8155242,0.7042188,0.7664936,0.59176266,0.5254204,0.519153,0.76482695,0.5758975,0.74912757,0.50783354,0.4657912,0.38460028,0.43100134,0.67711663,0.5993044,0.47141066,0.75589293,0.5457114,0.46033156,0.53755176,0.57179856,0.69573075,0.72820383,0.59182733,0.660399,0.8040373,0.6097293,0.7353413,0.52353376,0.15859857,0.7689641,0.57009864,0.8008439,0.74298364,0.70918864,0.7249703,0.57875085,0.48671615,0.27518392,0.3724779,0.90920186,0.41559517,0.5506624,0.6785289,0.60121375,0
0.38280338,0.3937866,0.67957175,0.79890895,0.57715136,0.55602515,0.77591896,0.63354194,0.20222351,0.71097463,0.62869257,0.5390192,0.52006686,0.12824395,0.5708735,0.68738,0.5368875,0.8635884,0.6031092,0.5309918,0.41549325,0.42943865,0.7597531,0.5845095,0.65952754,0.52331364,0.8066141,0.46457756,0.72138673,0.5296818,0.6063772,0.6114037,0.39843297,0.2017991,0.46924245,0.45572042,0.559873,0.50022244,0.26652637,0.43224394,0.71775913,0.60687447,0.789142,0.26735854,0.27942407,0.68104357,0.8166238,0.9231148,0.86176914,0.7448827,0.5120788,0.80265164,0.50352573,0.6627439,0.38913184,0.6941033,0.8675066,0.83586586,0.7347917,0.777206,0.5187029,0.73537046,0.5010146,0.7737916,0.6951544,0.5100322,0.5360334,0.35516512,0.5413308,0.6208341,0.5256754,0.7401572,0.62242377,0.61084557,0.6671182,0.58249426,0.72389716,0.7133138,0.48732355,0.7109078,0.8279955,0.6024632,0.63697374,0.4229151,0.116143584,0.72857744,0.6090427,0.7001167,0.52409816,0.6197976,0.8314062,0.6057293,0.6527381,0.5486699,0.472896,0.68827426,0.44707897,0.4954239,0.42293558,0.6051995,0
0.7173846,0.50089425,0.5642109,0.74647367,0.47094113,0.5899464,0.7264022,0.267598,0.288607,0.6906092,0.6369853,0.3804291,0.7723955,0.46422085,0.59315854,0.49795586,0.5905624,0.66183853,0.5461516,0.6243661,0.7596655,0.7084614,0.6784621,0.3594049,0.325537,0.56073594,0.8365673,0.5300711,0.29743934,0.2986782,0.38787824,0.65545416,0.68220365,0.5273994,0.27771562,0.1713827,0.8331108,0.7096581,0.7064947,0.6167519,0.5797258,0.65484273,0.7096589,0.6097536,0.5451281,0.5724064,0.5609433,0.7701381,0.8291031,0.7810241,0.49612162,0.6458008,0.8932926,0.83158267,0.49571913,0.8669464,0.60909927,0.81299454,0.5012484,0.47559613,0.6702736,0.5800946,0.483682,0.7766816,0.66529,0.4837942,0.340301,0.53970945,0.7018555,0.54620385,0.4564476,0.81507105,0.49938294,0.4154429,0.65914494,0.4289776,0.7179743,0.6757877,0.43690056,0.6369145,0.8592398,0.622331,0.5723456,0.5652313,0.22899106,0.7385127,0.53074867,0.7934466,0.7177216,0.677027,0.5997932,0.52227634,0.46250397,0.21919975,0.44091025,0.95375276,0.42599627,0.45770273,0.6746547,0.6110608,1
0.7796911,0.36312082,0.49582246,0.6984676,0.7091546,0.56415355,0.50460607,0.41263014,0.5547481,0.8112301,0.7717373,0.62190837,0.80288273,0.36549902,0.2261158,0.085722625,0.89380693,0.4128102,0.5358121,0.5202504,0.68926394,0.49650794,0.8936783,0.57951653,0.695194,0.47587004,0.7221385,0.6449326,0.64140034,0.3492093,0.32419926,0.51861453,0.61452127,0.7245484,0.66977245,0.7386066,0.7824681,0.7573001,0.58856106,0.6915531,0.28659314,0.66091657,0.8198189,0.48963845,0.6015543,0.3211156,0.6920773,0.3874252,0.43307233,0.58090764,0.3638097,0.8684795,0.81047994,0.974996,0.50717527,0.3625814,0.17706919,0.8624697,0.61481935,0.6118837,0.39117658,0.66052866,0.45235777,0.72960484,0.39123338,0.7107045,0.66947895,0.49793178,0.59743977,0.70347166,0.46921557,0.78635824,0.61395335,0.24088499,0.29785576,0.44775426,0.42515314,0.36304054,0.587448,0.48707762,0.76937157,0.8052317,0.43078145,0.7462604,0.30829707,0.12849736,0.6007472,0.5785892,0.73257095,0.23375121,0.5121357,0.31591222,0.6086612,0.6350766,0.12966958,0.84134555,0.33908737,0.48199373,0.81735873,0.52860475,0
0.47562888,0.32567412,0.6774287,0.6339583,0.61874425,0.74020004,0.77294517,0.54662514,0.51385343,0.49641663,0.6493812,0.41909894,0.779148,0.40499154,0.5530836,0.4466567,0.23308173,0.26499167,0.26048788,0.68793863,0.43215516,0.67052114,0.7024708,0.5872486,0.7932675,0.45877194,0.63452095,0.46975416,0.35508156,0.050269723,0.67514896,0.30788702,0.6725676,0.68838185,0.4764794,0.475232,0.54277396,0.5725237,0.75734204,0.68255043,0.4916063,0.7221748,0.8105591,0.4796051,0.5506201,0.58199334,0.38618383,0.7996419,0.73128045,0.59361196,0.6031672,0.54440224,0.7717175,0.78477544,0.29505843,0.8081511,0.79024845,0.69599056,0.7490521,0.6120227,0.36984643,0.73352927,0.52180785,0.6263371,0.43626904,0.4822197,0.55677164,0.46969798,0.5043704,0.6684434,0.5546156,0.5993911,0.46426317,0.3123326,0.4306558,0.79452825,0.72677064,0.7447164,0.59685516,0.5439818,0.59784305,0.5945525,0.7665212,0.722855,0.33583307,0.7085261,0.5399336,0.9096341,0.7841179,0.67078286,0.7347998,0.57348293,0.53145504,0.4533277,0.11301455,0.8306556,0.38355875,0.45734656,0.67333686,0.4801233,0
0.3292768,0.16405785,0.786114,0.7517843,0.58515894,0.59403163,0.77458036,0.54446745,0.3508442,0.5004816,0.5527099,0.49261436,0.6487778,0.15485266,0.658144,0.65035146,0.31333604,0.4747862,0.34365943,0.6830685,0.15441537,0.5923419,0.87570804,0.63238144,0.7391866,0.4843249,0.75504124,0.5605089,0.47748387,0.024189234,0.63722134,0.33978263,0.44614765,0.41447902,0.40416336,0.28662512,0.52610123,0.39446086,0.50206345,0.5366626,0.66919386,0.62488896,0.76398873,0.32165563,0.42952678,0.6930605,0.5250108,0.95705587,0.863173,0.7840953,0.5051402,0.67920744,0.5215788,0.836222,0.2048176,0.77239317,0.90069103,0.76631147,0.80762035,0.62620026,0.40785807,0.7586415,0.6366885,0.78875196,0.58002406,0.47567248,0.498645,0.4571122,0.68553054,0.7452576,0.5147692,0.77537036,0.5645784,0.3267395,0.43513596,0.6298682,0.8131276,0.72016454,0.6608855,0.67178833,0.7085156,0.6457572,0.72647333,0.6182854,0.24619064,0.77174664,0.6119125,0.73395884,0.69462484,0.7761771,0.7115035,0.65564084,0.5120453,0.66768616,0.23538743,0.7993415,0.35598716,0.50124186,0.5653961,0.47451115,0
0.5708225,0.26811802,0.57692933,0.3812769,0.61143404,0.5913145,0.7770945,0.3825215,0.4657194,0.6072593,0.5079515,0.38460588,0.76441455,0.4401369,0.5712901,0.43311328,0.2681408,0.22632945,0.36261156,0.7402558,0.29425386,0.743741,0.691612,0.4864006,0.5953776,0.4221364,0.75748867,0.5813806,0.27461672,0.10374826,0.39068496,0.49145278,0.76041013,0.8300527,0.39523706,0.21001464,0.45489007,0.56659234,0.9515792,0.6351911,0.40540498,0.53185904,0.5129516,0.64739716,0.6484438,0.40514198,0.21452421,0.72268337,0.6957841,0.7031174,0.2113758,0.45315182,0.836866,0.7764976,0.2611075,0.77095985,0.5994334,0.83703196,0.59565306,0.42372447,0.4468735,0.45063782,0.49217004,0.7269387,0.6954219,0.50483984,0.3537851,0.6078732,0.7182324,0.7095487,0.5067178,0.7632004,0.5743883,0.2535784,0.42574584,0.30750212,0.7655679,0.58780646,0.5710232,0.5019452,0.688029,0.7293479,0.5984597,0.57445157,0.43427238,0.7932706,0.56455266,0.7610233,0.72331893,0.728135,0.28396437,0.572169,0.5172987,0.41476867,0.31305987,0.8699374,0.42176116,0.21203434,0.7029368,0.5065047,1
0.9093294,0.58447355,0.68902284,0.8668857,0.65493155,0.27307507,0.7912394,0.39473638,0.0,0.94032574,0.7317406,0.48187727,0.35314858,0.5159098,0.0,0.7019497,0.7071113,0.7432318,0.5590902,0.54947865,0.7449928,0.60373783,0.3821469,0.56704926,0.9323718,0.5503975,0.9474297,0.25455204,0.7077522,0.80552083,0.29255453,0.5242649,1.0,0.26887757,0.58035177,0.5565035,0.58073467,0.5042802,0.49106723,0.7019727,0.6100072,0.5944404,0.5837434,0.7935173,0.5198858,0.9024532,0.9066502,0.85231125,1.0,0.89590967,0.6837641,0.73770916,0.7912323,0.8889097,0.3419275,0.597579,0.8999936,0.41082248,0.58130115,0.28772107,0.77516496,0.70806676,0.41880473,0.6599081,0.6910915,0.6416839,0.7527232,0.44675675,0.54318213,0.32396534,0.53185004,0.79380983,0.12889358,0.0,0.5428247,0.5745235,0.71126425,0.43178278,0.20142624,0.0,0.6851979,0.6372587,0.049595058,0.62423366,0.40607822,0.3988785,0.020611614,0.45403332,0.95161223,0.27004364,0.5629934,0.51896083,0.7053236,0.55325884,0.45191747,0.34934768,0.6057223,0.87225586,0.53846705,0.61049736,0
0.44457966,0.023016334,0.58549947,0.35606474,0.5703749,0.6531675,0.8528222,0.47010675,0.39540213,0.54079604,0.19487226,0.4898281,0.56294656,0.17981905,0.53325826,0.4901065,0.039265394,0.52049845,0.6446797,0.72460914,0.0,0.73650455,0.57850176,0.53809595,0.49157184,0.41233116,0.82798195,0.60926145,0.47295117,0.1964863,0.07211107,0.5107003,0.5783247,0.53590816,0.43107867,0.01795584,0.4960089,0.433912,0.6995065,0.4751028,0.64155,0.24096593,0.61931145,0.72404414,0.59616375,0.6912305,0.49695614,1.0,0.5756752,0.8219967,0.30892253,0.84091455,0.46287188,0.5683192,0.35391623,0.77308315,0.67796504,0.8265712,0.84240645,0.57517475,0.509635,0.700652,0.6649972,0.96670735,0.7759472,0.52020127,0.29733104,0.57388806,0.7593699,0.71896434,0.30820563,0.9023174,0.6172849,0.47378737,0.7025272,0.0,0.933494,0.8636863,0.7238569,0.7629177,0.75588846,0.70569605,0.32943663,0.06678146,0.18028916,0.9636506,0.6165745,0.8117259,0.62217754,0.89380985,0.24012548,0.8035902,0.6399805,0.5652217,0.46498305,0.6579686,0.4654197,0.029886782,0.66338754,0.51333064,0
