feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef90_A0A174YGI1	condition	CRC	-0.89747439346232	0.27187958630997	66	8	0.0015780761263823	0.00330772087781359
UniRef90_A0A174WBV7	condition	CRC	-1.04307495049985	0.316012464558084	66	8	0.00157932245962007	0.00331008679892974
UniRef90_A0A173ZUV1	condition	CRC	-0.805383813763687	0.244025233457375	66	7	0.00158089758699332	0.0033128410196487
UniRef90_A0A174PMP1	condition	CRC	-0.659611893565343	0.199856722662889	66	8	0.00158084074350722	0.0033128410196487
UniRef90_A0A174Y2G7	condition	CRC	-0.500945436120042	0.151783576910488	66	7	0.00158098959572962	0.0033128410196487
UniRef90_A0A174T554	condition	CRC	-0.752743414180387	0.228082065168136	66	8	0.00158134807740868	0.00331334556975358
UniRef90_A0A173URG6	condition	CRC	-0.661485729990133	0.200452750473188	66	8	0.00158307939956882	0.0033167262972882
UniRef90_A0A174DU94	condition	CRC	-0.704080197059505	0.213379218427867	66	8	0.00158448596238476	0.00331942616557939
UniRef90_A0A174QE87	condition	CRC	-0.866113803697298	0.262495590036358	66	8	0.00158511040429835	0.00332048724620934
UniRef90_A0A173U222	condition	CRC	-0.540971604462222	0.163956576343281	66	8	0.00158537838697037	0.00332080151413615
UniRef90_A0A174KYP1	condition	CRC	-0.73979448277379	0.224258243937881	66	8	0.00158841809378462	0.00332692107553193
UniRef90_A0A173TLB7	condition	CRC	-0.686743524660567	0.208184308208327	66	8	0.0015890082119243	0.00332790947642411
UniRef90_A0A174G3V5	condition	CRC	-0.660423324868917	0.200209337402364	66	7	0.00158932027897733	0.00332806787368386
UniRef90_A0A174ZF46	condition	CRC	-0.660423324868917	0.200209337402364	66	7	0.00158932027897861	0.00332806787368386
UniRef90_A0A173TJ80	condition	CRC	-0.763082936223065	0.231341154970095	66	8	0.00159002602160788	0.00332929807068093
UniRef90_A0A174W460	condition	CRC	-0.749418078309262	0.227216944857056	66	7	0.00159132549254073	0.00333177117849225
UniRef90_A0A173ZL73	condition	CRC	-0.820751144941465	0.248871293911045	66	7	0.001593043588027	0.00333512033093895
