Nom,Model,n (test),Exactitud,Sensibilitat,Especificitat,AUC
DM2 S,RandomForestClassifier(n_estimators=10),30,0.7,0.6666666666666666,0.7333333333333333,0.7644444444444445
DM2 S1,RandomForestClassifier(n_estimators=10),30,0.7666666666666667,0.8,0.7333333333333333,0.8466666666666667
PD S,RandomForestClassifier(n_estimators=10),21,0.6190476190476191,0.2727272727272727,1.0,0.8181818181818181
PD S1,DecisionTreeClassifier(),21,0.6190476190476191,0.45454545454545453,0.8,0.6272727272727273
