0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.66297436,0.30532992,0.74101394,0.99501485,0.6954415,0.5425565,0.7499875,0.9286902,0.6641591,0.7553162,0.8610355,0.6724233,0.45098755,0.6983404,0.8538662,0.6956683,0.64047694,0.819232,0.83797693,0.33833286,0.585268,0.65721065,0.19327858,0.66644406,0.89052504,0.99064326,0.50418144,0.19471285,0.81131,0.07348749,0.7024926,0.30818316,0.16873276,0.61325693,0.0013020039,0.3792646,0.73154914,0.81208235,0.66180086,0.6615548,0.034183323,0.60716313,0.657661,0.60431486,0.84198636,0.5467565,0.5158996,0.79610825,0.009921804,0.0019236207,0.69538015,0.5715522,0.7646895,0.81444436,0.85222435,0.89980054,0.5044505,0.6118377,0.978632,0.78865767,0.55165315,0.7203439,0.22333631,0.5909674,0.40007663,0.78600454,0.6409692,0.80971205,0.5542441,0.99961895,0.76906645,0.6413588,0.5564427,0.15967077,0.9114567,0.9722073,0.7823756,0.32710356,0.6696059,0.79428244,0.6171489,0.7826835,0.62884367,0.9049706,0.7404425,0.31194693,0.50044435,0.058315545,0.6656247,0.7472773,0.6521837,0.6707586,0.6422226,0.61971354,0.6064566,0.67838484,0.517012,0.28989035,0.083633184,0.5489777
0.0,0.68801355,0.015595794,0.66581464,0.6629579,0.24558441,0.7331124,0.8790767,0.8402115,0.7559976,0.37936097,0.3683433,0.0,0.1475318,0.6259364,0.7417342,0.0,0.0,0.8801516,0.7649288,0.6508592,0.685336,0.0,0.09015089,0.06842095,0.8353062,0.7392223,0.64973366,0.0,0.58906794,0.90601385,0.70655173,0.44018707,0.48503888,0.57779634,0.75982565,0.23370045,0.27750087,0.47732207,0.85222936,0.51740694,0.81235385,0.32424432,0.8836407,0.50177014,0.7301237,0.92686415,0.0,0.4028791,0.71455836,0.7623814,0.7289105,0.5747813,0.3120437,0.0,0.5857176,0.9449232,0.5195841,0.0,0.98958564,0.9071625,0.33680892,0.8606543,1.0,0.34464386,0.733121,0.9591254,0.5232198,0.5522997,0.6190459,0.46153522,0.053818285,0.11324543,0.9044367,0.66694176,0.29058048,0.25646842,0.41454065,0.68654495,0.9126779,0.21101952,0.85539067,0.4778319,0.33602276,0.5008902,0.7050849,0.8080338,0.23534009,0.3944169,0.8664125,0.0572415,0.83900243,0.62851757,0.8333317,0.4277929,0.46705282,0.4418436,0.718408,0.86787254,0.36563095
0.7205112,0.8571284,0.62728924,0.99406534,0.7382103,0.31581312,0.30661142,0.7170716,0.04644108,0.80290115,0.94887847,0.74626607,0.85331964,0.9142475,0.76805955,0.046823323,0.604877,0.875827,0.73411024,0.19859752,0.4498141,0.19378048,0.68855906,0.176523,0.57889104,0.8477405,0.7151754,0.26808578,0.8552185,0.64341164,0.612646,0.7815027,0.5472543,0.5284628,0.53729916,0.9198463,0.8587772,0.74896294,0.7277015,0.58388036,0.5828148,0.5349474,0.47332847,0.39146656,0.72864115,0.6568073,0.06706101,0.29656255,0.6221251,0.5614001,0.6961521,0.44783875,0.8298999,0.84721535,0.623463,0.8059375,0.22612095,0.43421978,0.6982662,0.25576246,0.54919136,0.9015783,0.901893,0.75325435,0.7436688,0.46671003,0.47406965,0.9355312,0.49783713,0.6276528,0.7390181,0.26598126,0.7983864,0.8489626,0.67330414,0.7266024,0.8920284,0.16907594,0.5870631,0.8640887,0.7406872,0.84923047,0.7261696,0.55413604,0.76909876,0.38647395,0.43695712,0.42889526,0.5557026,0.8309373,0.35935917,0.5767945,0.64570606,0.8511992,0.7416865,0.47775137,0.9440496,0.20062062,0.71680784,0.8167311
0.31325364,0.69439024,0.7700666,0.60908204,0.51357406,0.3206874,0.44808343,0.69878423,0.774866,0.6057042,0.5127959,0.5844942,0.8423165,0.74039143,0.853265,0.6706306,0.5669629,0.6415266,0.81970036,0.743548,0.5980011,0.6702554,0.4980134,0.48144513,0.35155964,0.870647,0.38949794,0.2462649,0.27393985,0.6228005,0.66913164,0.7732544,0.5540314,0.70368314,0.46472093,0.6044368,0.53480464,0.48170096,0.58518976,0.57979053,0.743831,0.37810716,0.5792788,0.7138389,0.3068719,0.61595565,0.7081723,0.6116602,0.36498863,0.5912671,0.47768494,0.37509412,0.8757349,0.4172095,0.38436034,0.6101353,0.81034046,0.6763826,0.51577204,0.9012236,0.85666525,0.85681856,0.68367743,0.44041243,0.41498283,0.786423,0.5420075,0.45498306,0.61444235,0.533149,0.74483454,0.75695795,0.75252974,0.6477616,0.68216294,0.7090034,0.31536594,0.49953684,0.61997104,0.55963254,0.33056495,0.857392,0.883438,0.78170264,0.44747162,0.49232864,0.4673586,0.495343,0.48044476,0.37268397,0.17349416,0.7353154,0.71483487,0.7698331,0.57454437,0.47751433,0.40442136,0.79227966,0.87040454,0.31179988
0.26462358,0.70329195,0.7080831,0.6483743,0.5643034,0.30498704,0.65679514,0.5631708,0.81740326,0.72924334,0.5067442,0.12077069,0.85730094,0.71661717,0.9923542,0.7472733,0.51714855,0.6005323,0.5723095,0.73987514,0.74353874,0.58335155,0.56067276,0.46035415,0.049683273,0.9576146,0.7288672,0.14628434,0.5304199,0.6832523,0.7888038,0.6797994,0.62379277,0.83060026,0.46635342,0.3978468,0.4116456,0.47663587,0.5435761,0.40227547,0.7614234,0.19490555,0.4916334,0.75229466,0.4194852,0.5767833,0.83376837,0.6539166,0.40996552,0.5570353,0.5302164,0.4432566,0.7976184,0.45643142,0.39046842,0.7886827,0.8214915,0.6905973,0.48707825,0.99426895,0.9879873,0.8834502,0.58179003,0.48932493,0.7517124,0.67113626,0.5429084,0.43245655,0.5304533,0.5857025,0.88412434,0.6268691,0.43995193,0.66826296,0.57512784,0.7304875,0.32775766,0.5819439,0.4546513,0.78106356,0.14261681,0.66868544,0.8392259,0.8577704,0.37882873,0.50563407,0.6634942,0.4772541,0.5618863,0.68721867,0.362618,0.49658215,0.32157913,0.32846993,0.63767564,0.09596133,0.5860034,0.8628415,0.79518944,0.42609328
0.4967914,0.9179301,0.56365937,0.47855544,0.6574129,0.397372,0.67490506,0.70245004,0.4561479,0.70683354,0.332219,0.48599112,0.9199939,0.97581446,0.8716469,0.6308827,0.5534015,0.82053155,0.3794145,0.40233454,0.026501238,0.057392836,1.0,0.20913139,0.5475867,0.90311986,0.5619894,0.0043976605,0.48540607,1.0,0.6391144,0.89788526,0.56167376,0.6868254,0.5777896,0.7554336,0.12756944,0.34961918,0.013507485,0.40952575,0.8756082,0.002974689,0.3073172,0.0046319366,0.5667782,0.8213929,0.028219998,0.6431406,0.9895926,0.8070146,0.29370087,0.21038711,0.8857767,0.77682626,0.22477743,0.9999875,0.6350268,0.8273616,0.43767425,0.8121364,0.9153943,0.39865628,0.67807573,0.47877908,0.9188631,0.7578426,0.22599033,0.16203588,0.25383052,0.17415488,0.443281,0.92525166,0.8109918,0.9363663,0.7059062,0.26048425,0.69125706,0.142533,0.064786434,0.7148891,0.4857089,0.23218626,0.9929513,0.32285085,0.18514961,0.53398734,0.4243193,0.4125299,0.5281801,0.1541431,0.0036919117,0.23729119,0.46475136,0.8084307,0.8627413,0.08796859,0.97000855,0.8542167,0.9138366,0.38064325
0.39115793,0.54598033,0.5756042,0.52809626,0.6961414,0.42495185,0.64145166,0.5780458,0.8009511,0.8702962,0.46520483,0.56272656,0.7611207,0.66618365,0.75982237,0.84104276,0.6353933,0.4295396,0.6677122,0.75399673,0.45964015,0.43061414,0.41583002,0.7510607,0.66216844,0.96862406,0.6167769,0.22624505,0.5585488,0.524925,0.5142806,0.71905774,0.58317244,0.6287565,0.41037017,0.41441402,0.28611848,0.4323835,0.5565306,0.4506035,0.60714334,0.27771425,0.40839803,0.5084541,0.560381,0.47867316,0.6942619,0.7576345,0.3201765,0.48703772,0.48434028,0.25225416,0.58688843,0.6073724,0.4292798,0.6089361,0.7624875,0.46240926,0.5538157,0.7957048,0.6511713,0.590674,0.44935784,0.28813037,0.51651895,0.6631508,0.44504026,0.4743747,0.52018726,0.467901,0.6413512,0.7557562,0.5683267,0.5806454,0.84088385,0.8101546,0.4017822,0.3060575,0.49144584,0.37848762,0.3396487,0.8977239,0.7690835,0.5120282,0.51281947,0.275275,0.19889638,0.54469377,0.74430037,0.66880727,0.33729285,0.3236708,0.6330638,0.5659548,0.7777227,0.6366057,0.5359689,0.7894598,0.5490744,0.31205565
0.6425432,0.46275154,0.7189954,0.95781493,0.4944136,0.6694325,0.8604094,0.887683,0.6386767,0.64329594,0.70666766,0.66665244,0.2521699,0.5137155,0.62172306,0.75349104,0.62836146,0.7121844,0.7165226,0.32082182,0.49522617,0.8028919,0.16860893,0.53590876,0.9044118,0.82768875,0.37758076,0.37983394,0.6424005,0.12167776,0.81607056,0.2870708,0.11519149,0.62225366,0.1950409,0.4440734,0.58718944,0.8726479,0.6683412,0.8302189,0.0,0.66790986,0.7698914,0.70675933,0.68311757,0.5185873,0.68388945,0.6627252,0.011692032,0.1494247,0.5677056,0.60279536,0.639531,0.7651216,0.64842325,0.8457367,0.6859608,0.5225294,0.87919766,0.82743514,0.6553127,0.59354794,0.24156585,0.5890896,0.40033406,0.7630708,0.6192885,0.7433352,0.44437748,0.8767724,0.64991415,0.5827169,0.4847673,0.2022025,0.9254055,0.71488637,0.695784,0.2701806,0.74208343,0.9146292,0.52853304,0.7444562,0.417673,0.71940476,0.6625551,0.32194543,0.61239904,0.033308297,0.62382454,0.62976706,0.5413705,0.6189113,0.63882005,0.5731029,0.6184228,0.7210461,0.35791636,0.33873037,0.22308797,0.52739257
0.35638118,0.35334098,0.6579148,0.7360637,0.28850776,0.0,0.53313917,0.86943007,0.6787814,0.81500036,0.39025754,0.53292865,0.696964,0.49280792,0.73800325,0.6622945,0.6913593,0.36840865,0.89707184,0.77930576,0.50295335,0.63130975,0.58609706,0.7074682,0.8693038,0.8756731,0.6944023,0.63043153,0.7203005,0.5767358,0.36595044,0.99999994,0.6645425,0.37954146,0.68538535,0.597698,0.7873791,0.5970675,0.94416106,0.6047272,0.73482907,0.5572834,0.5262675,0.71532315,0.58597,0.62766457,0.707883,0.29475236,0.18704629,0.8770192,0.38318488,0.60748065,0.9171696,0.6724128,0.7119279,0.6137366,0.50774276,0.6000473,0.60573953,0.41562945,0.0,0.0,0.8903143,0.5191071,0.47889557,0.2765578,0.6846804,0.59363425,0.42819336,0.46836042,0.37852025,0.8472774,0.89009607,0.5918309,0.6941967,0.5372999,0.5284985,0.5362124,0.7928486,0.35004056,0.5264917,0.72786826,0.37470174,0.07720548,0.59514225,0.3368917,0.6153479,0.58125544,0.5659716,0.7046991,0.71550536,0.64392835,0.79663694,0.6973187,0.87662834,0.95050204,0.71732754,0.77415454,0.96856385,0.0
0.5053719,0.3719494,0.73850316,0.78196424,0.69552404,0.62100375,0.90127593,0.8094567,0.78412783,0.7782743,0.6678161,0.45217374,0.52322876,0.603598,0.93822205,0.80675405,0.6435012,0.6396131,0.5455922,0.44233495,0.5611662,0.7530707,0.30881646,0.6491948,0.63665396,0.9462267,0.57172275,0.16001424,0.8163746,0.08238864,0.6504309,0.25298148,0.20343214,0.72601134,0.08335245,0.13096774,0.56951445,0.650399,0.5206703,0.53397244,0.16470271,0.41361195,0.54633605,0.5646173,0.76901865,0.47836784,0.71096647,0.79478914,0.05903341,0.072289616,0.66508466,0.42276734,0.5618645,0.8193869,0.81436056,0.8582957,0.5070439,0.6852853,0.93907523,0.8605026,0.7445681,0.7767624,0.100764155,0.44701573,0.5938084,0.60093147,0.5314594,0.731223,0.5770267,0.863324,0.8608346,0.5297736,0.32425532,0.16967481,0.9009216,0.9478526,0.70293623,0.38654074,0.4954617,0.8355314,0.3899394,0.7265773,0.62646115,0.9625784,0.5400313,0.2400317,0.590947,0.16588777,0.67840576,0.8514482,0.64839035,0.54502314,0.40144956,0.29119247,0.5016051,0.48233724,0.56964266,0.41480452,0.13867426,0.6873258
