0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.32210103,0.07206643,0.80657375,0.0,0.46774757,0.67557424,0.54208183,0.43411058,0.71214175,0.30334654,0.6265087,0.69662267,0.26115024,0.37653172,0.49170905,0.0,0.21192572,0.5627348,0.60514367,0.56029063,0.06613621,0.5649197,0.25231493,0.36881244,0.5111925,0.090252295,0.8911941,0.52637094,0.20458661,0.46756524,0.0,1.0,0.78287154,1.0,0.5329972,0.7096623,0.7558175,0.16022721,0.62982166,0.5958237,0.48571742,0.2570948,0.33379567,0.0,0.53417516,0.6926499,0.89869624,0.72191715,0.74380505,0.2814511,0.2693578,0.6404525,0.98363614,0.59611404,0.5852985,0.8843068,0.0,0.47873074,0.7157345,0.6545574,0.43840414,0.45193514,0.99999994,0.2712933,0.6431863,0.92285126,0.37934422,0.6301145,0.37885475,0.26958326,0.8932784,0.49009502,0.8174863,0.31957102,0.48647898,0.73908895,0.5609873,0.65911734,0.30156907,0.09965995,0.115546644,0.8815719,0.6227729,0.09454256,0.7662482,0.0,0.29180953,1.0,0.29218334,0.29478243,0.27181545,0.07273352,0.48185906,0.66979206,0.33398366,0.6742164,0.64702755,0.19203088,0.14012176,0.8706316
0.3260219,0.54923403,0.6307751,0.2917071,0.3333715,0.3145171,0.10503772,0.43723467,0.6752089,0.344948,0.79664505,0.8415824,0.5586977,0.4182078,0.33193558,0.5087712,0.49931443,0.39491302,0.801582,0.49574843,0.44134316,0.8123989,0.70016956,0.1022152,0.44493783,0.26199815,0.82687163,0.6448243,0.09399803,0.24188857,0.7387181,0.80683106,0.7379869,0.6636321,0.4413334,0.49349156,0.5979102,0.3601294,0.7547041,0.6003049,0.5813309,0.60239285,0.6341666,0.35859653,0.5390003,0.9441041,0.65785843,0.7205008,0.73854446,0.25479,0.68485934,0.75317883,0.6652701,0.78911036,0.65488946,0.8019107,0.35155427,0.57442725,0.907355,0.43880692,0.64107025,0.69472337,0.83663565,0.56324327,0.5481005,0.7162604,0.5233424,0.2782011,0.49785888,0.5019156,0.8221764,0.63381594,0.6613154,0.41027257,0.514158,0.4783001,0.70282996,0.7660964,0.36526293,0.2880051,0.315092,0.5213918,0.76683503,0.30419683,0.8036386,0.55274826,0.354509,0.82191336,0.62294894,0.36484277,0.24487993,0.29909766,0.38490844,0.72420424,0.2626438,0.7036012,0.5919702,0.3308278,0.34599918,0.41493022
0.3090499,0.43261772,0.7609094,0.19055939,0.4157441,0.39724633,0.11619732,0.43866128,0.42790926,0.3454469,0.691741,0.8863609,0.32009235,0.1445272,0.26109806,0.5802609,0.31789175,0.21485558,0.77192485,0.5180965,0.3654868,0.69812924,0.61164397,0.1155538,0.5884997,0.36414823,0.74403006,0.69364464,0.16048546,0.19944222,0.76750296,0.7888495,0.5359861,0.74460137,0.6798649,0.559176,0.55568504,0.50963295,0.85070735,0.70515466,0.5181667,0.535486,0.39093032,0.37301463,0.76308554,0.8284126,0.6156901,0.90981126,0.8607062,0.3696478,0.72477734,0.58489996,0.6722816,0.42378545,0.64191395,0.8769579,0.25503027,0.8015677,0.64110243,0.39353067,0.43795043,0.76487523,0.7579235,0.5763328,0.47160488,0.7593298,0.41802916,0.4608813,0.40648037,0.74596596,0.8187021,0.86175996,0.618138,0.49892,0.4239289,0.5455394,0.51798874,0.60661054,0.31004542,0.30821574,0.40493983,0.6420307,0.849239,0.31360376,0.94778293,0.7894298,0.42540938,0.68573403,0.59314495,0.5707139,0.33345178,0.49736732,0.5081537,0.61099476,0.26547456,0.804742,0.639309,0.39010996,0.46537793,0.37853253
0.24983957,0.44763634,0.66060877,0.21504985,0.31103602,0.32858908,0.14540124,0.44470605,0.46398264,0.3054856,0.56468207,0.9814702,0.34631944,0.32144725,0.25941858,0.337389,0.2815327,0.27311194,0.8470544,0.37167904,0.41230205,0.73218226,0.6298042,0.08678597,0.59130543,0.25956148,0.73209983,0.7690911,0.21552315,0.12445435,0.6624631,0.7195225,0.5674424,0.52527034,0.46897867,0.569421,0.5831061,0.58611095,0.8642857,0.78636885,0.50100803,0.55316144,0.51081747,0.32852733,0.7986878,0.81272155,0.4531677,0.84419644,0.66429985,0.3013536,0.8057187,0.61054045,0.73341566,0.61805373,0.5894983,0.8740227,0.21879268,0.6415433,0.7883059,0.36293238,0.43661666,0.80414134,0.8530015,0.66796947,0.5165193,0.7881229,0.2757405,0.33795655,0.47052836,0.71635157,0.8329525,0.7269809,0.6673663,0.5379609,0.43462008,0.38186267,0.46632066,0.7022635,0.2411831,0.33590785,0.5466817,0.54555726,0.802819,0.27831692,0.9191812,0.79947895,0.46819547,0.73801994,0.70325285,0.56810075,0.39979643,0.49115926,0.4316674,0.6759953,0.2973466,0.70996803,0.5891241,0.35140193,0.4831621,0.37477413
0.3962274,0.56580436,0.5836235,0.34954923,0.31093097,0.45602947,0.705493,0.5986297,0.7527586,0.23270975,0.2595836,0.9176919,0.43961173,0.70460194,0.63028884,0.46346772,0.3026231,0.45069715,0.82101184,0.12692419,0.32296598,0.8947711,0.7549553,0.51278937,0.59009266,0.04619488,0.76624364,0.7763051,0.38734326,0.40787244,0.53931844,0.36518696,0.5506824,0.12428811,0.30643693,0.5332638,0.70986503,0.73730624,0.7130975,0.7025291,0.3093215,0.38641685,0.5468008,0.29682794,0.7973603,0.7732087,0.4614059,0.6419055,0.20010495,0.33534664,0.8473283,0.6544169,0.9162169,0.7299431,0.50051093,0.738035,0.514343,0.3956973,0.8526321,0.4760737,0.5429947,0.7677743,0.775464,0.6732923,0.52727795,0.7588419,0.19276437,0.62535834,0.53377646,0.65197706,0.68634844,0.4736141,0.5724113,0.36204842,0.2596589,0.30647153,0.49030405,0.6498669,0.18504453,0.27693558,0.9438376,0.36199993,0.68977535,0.6840445,0.7216874,0.57057226,0.52341175,0.7193565,0.7852093,0.56765956,0.742125,0.62607855,0.21435988,0.5317581,0.40399036,0.47983372,0.4920665,0.3127327,0.5790125,0.74403995
0.27100694,0.47330958,0.65142816,0.2431154,0.31330737,0.2601297,0.11740291,0.48306912,0.50520456,0.31449035,0.5983307,0.9377187,0.4026511,0.30413693,0.23761499,0.42650843,0.31296182,0.27337235,0.84897923,0.40890926,0.41203594,0.7818423,0.6880403,0.092891395,0.5646728,0.27501976,0.76398706,0.77409565,0.20811638,0.15303323,0.75723463,0.7250432,0.60887873,0.49839085,0.48511595,0.50817573,0.56801,0.55523,0.8589256,0.76988816,0.4984821,0.55261993,0.5410181,0.3719406,0.7791697,0.8686228,0.4900701,0.8282928,0.66306627,0.32983175,0.821695,0.6337925,0.7081243,0.62253255,0.62922496,0.852592,0.28422353,0.6421393,0.80117655,0.33433712,0.48112082,0.84978986,0.8126824,0.68408775,0.5000305,0.77555376,0.30934575,0.3667995,0.45811528,0.7071907,0.8241395,0.7361402,0.6541729,0.5082195,0.427559,0.37823272,0.50944114,0.70711875,0.2603386,0.31776863,0.5364219,0.50630057,0.8336474,0.29860678,0.8951853,0.7841941,0.44671053,0.7222066,0.7266823,0.5514377,0.36876822,0.50254774,0.42188627,0.6834123,0.29507726,0.7053114,0.5742979,0.353281,0.47134262,0.3654248
0.74144566,0.75068706,0.8739649,0.31348205,0.0,0.70308745,0.7568307,0.5061471,0.49959853,0.30788037,0.6051814,0.0,0.56264544,0.9483563,0.87446284,0.8891486,0.49115878,0.2570725,0.28472713,0.55934125,0.5001509,0.5901767,0.50345355,0.31756932,0.0,0.29353058,0.20480561,0.3622528,0.1654255,0.2891456,0.67988676,0.74675566,0.7642638,0.8170762,0.6869043,0.29791635,1.0000001,1.0,0.47790793,0.7794018,0.6238536,0.0,0.6933111,0.30473253,1.0,0.17721838,0.6563324,0.58660275,0.26232943,0.2990001,0.9536125,0.81529605,0.48725975,0.08959526,0.46469277,0.0,0.0980404,0.93264264,0.8138033,0.7143661,0.687709,0.59177476,0.4425565,0.19401523,1.0000001,0.34236163,0.24605145,0.5529299,0.5475004,0.2895529,0.8086493,0.53562725,0.40923315,0.24627115,0.5889871,0.37177116,0.8184664,0.6482585,0.4210461,0.44242394,0.66095954,0.25411284,0.4425812,0.9441689,0.78584915,0.69630027,0.38609996,0.13061541,0.56934917,0.45231804,0.4650377,0.48393333,0.90115476,0.4031248,0.40681484,0.3498769,0.7749139,0.54177773,0.8921505,0.6256863
0.29013717,0.7964399,0.7114548,0.4180132,0.39164755,0.5026494,0.025758862,0.24002442,0.40301278,0.35424805,0.77520275,0.69142735,0.4106511,0.64707106,0.5616577,0.6799211,0.5644486,0.47826594,0.6867508,0.43805847,0.66729987,0.7098527,0.62323165,0.09452996,0.4493593,0.3527848,0.5039021,0.60568523,0.039399385,0.10163024,1.0,0.8152468,0.6025459,0.8575617,0.56140405,0.58942276,0.63690895,0.5151358,0.85237694,0.59887624,0.6303047,0.5188212,0.5345896,0.41339305,0.6155373,0.72608966,0.22993696,0.7929466,1.0,0.19256034,0.59256816,0.78969604,0.5562602,0.60802466,0.6167782,0.9233021,0.552757,0.5915314,0.64168,0.52415353,0.51720464,0.7783288,0.8164941,0.59585047,0.59240234,0.52396435,0.5368673,0.020434082,0.5174125,0.5343581,0.83552974,0.79229605,0.62933165,0.50202143,0.48043004,0.38742387,0.83596474,0.68287385,0.3397195,0.42299962,0.37429684,0.50121856,0.56292415,0.5494808,0.90917075,0.7550303,0.4359134,0.79015344,0.77068377,0.53023475,0.3340597,0.31315702,1.0,0.6645593,0.24316907,0.72725904,0.72758645,0.4608964,0.5546074,0.20392615
0.36557662,0.20545948,0.82415944,0.123392254,0.50769335,0.6439647,0.74150485,0.7583075,0.529884,0.30846903,0.38844225,0.92896414,0.050293177,0.28549057,0.45790148,0.5921744,0.3149992,0.27023005,0.71332246,0.51641536,0.0802694,0.5163764,0.38017198,0.5439968,0.63744205,0.33499894,0.73502284,0.72391933,0.32686657,0.5252038,0.324697,0.6443222,0.51000017,0.72849756,0.7071336,0.72774124,0.65047425,0.7887425,0.66700053,0.30914843,0.30597073,0.41563675,0.14220902,0.09854248,0.47963852,0.34674275,1.0,0.89069957,0.57228106,0.40377584,0.61659014,0.6414856,0.65823543,0.39017725,0.6099582,0.8648881,0.4562568,0.71330005,0.6549548,0.59662586,0.20794588,0.45665792,0.9643301,0.3272062,0.47059506,0.88068485,0.25230485,0.6801994,0.46388376,0.8157345,0.82598996,0.82688624,0.78069746,0.34785402,0.5123037,0.6503198,0.36868012,0.31565988,0.40363503,0.25960493,0.6655455,0.7100039,0.1652742,0.39089483,0.71507186,0.50520104,0.54000777,0.48357952,0.41603196,0.8564593,0.8676667,0.51029253,0.44441393,0.53274345,0.20319028,0.71043116,0.7399305,0.43065223,0.3451162,0.9226222
0.72751665,0.79571164,0.7361905,0.4911072,0.48420545,0.7402824,0.6370336,0.5654143,0.6765177,0.28884545,0.75937665,0.92715836,0.46774852,0.5542791,0.9587977,0.6403638,0.54908156,0.60202664,0.8323139,0.2716148,0.4530544,0.91286576,0.93895286,0.46269882,0.50624025,0.2438176,0.8107682,0.4670052,0.23699166,0.5659152,0.6864149,0.19468936,0.16249144,0.7005762,0.7400303,0.68500435,0.65657717,0.2890194,0.7570503,0.6619567,0.50702584,0.70210576,0.17347449,0.42823985,0.5740173,0.8570667,0.57967967,0.5643531,0.68673474,0.3676107,0.7259004,0.64864403,0.83069277,0.503126,0.68706656,0.775877,0.72779137,0.68697155,0.63728523,0.5454649,0.6701515,0.7727415,0.59528774,0.5935419,0.66744614,0.48815638,0.60686946,0.84811306,0.5551033,0.73151016,0.563334,0.7900916,0.102951735,0.21357541,0.048937917,0.90315634,0.7846247,0.801105,0.24864814,0.38622585,0.69616205,0.64389116,0.93805784,0.8971881,0.6225363,0.69453275,0.22717759,0.6877587,0.72958547,0.39227563,0.6000479,0.59457755,0.26956075,0.30962262,0.3459729,0.8553388,0.4026069,0.48009732,0.6987901,0.77742994
